task,regime,macro_f1_gold,n_test,test_coverage,n_train
epilepsy_type,text_only,0.5531301215124744,390,1.0,11247
epilepsy_type,mri_only,0.1898439399413827,390,0.699999988079071,11247
epilepsy_type,eeg_only,0.2012764670296431,390,0.528205156326294,11247
epilepsy_type,text_mri,0.5403603630923406,390,0.699999988079071,11247
epilepsy_type,text_eeg,0.5814550169528657,390,0.528205156326294,11247
epilepsy_type,text_mri_eeg,0.5642203706351944,390,1.0,11247
seizure_type,text_only,0.6272764591730109,425,1.0,10476
seizure_type,mri_only,0.1609408597143667,425,0.6894117593765259,10476
seizure_type,eeg_only,0.2627039411816238,425,0.5105882287025452,10476
seizure_type,text_mri,0.6162348390012885,425,0.6894117593765259,10476
seizure_type,text_eeg,0.6493344408238025,425,0.5105882287025452,10476
seizure_type,text_mri_eeg,0.6167324586142667,425,1.0,10476
ez_localization,text_only,0.6294679910896743,401,1.0,7724
ez_localization,mri_only,0.15921935869099385,401,0.6857855319976807,7724
ez_localization,eeg_only,0.15047667201171094,401,0.5211970210075378,7724
ez_localization,text_mri,0.6431827335438618,401,0.6857855319976807,7724
ez_localization,text_eeg,0.6447305112562194,401,0.5211970210075378,7724
ez_localization,text_mri_eeg,0.6468656630452783,401,1.0,7724
aed_response,text_only,0.4226814644725092,401,1.0,6513
aed_response,mri_only,0.36509162589771255,401,0.6982543468475342,6513
aed_response,eeg_only,0.32818084542222475,401,0.5187032222747803,6513
aed_response,text_mri,0.391762029134471,401,0.6982543468475342,6513
aed_response,text_eeg,0.4653992744638839,401,0.5187032222747803,6513
aed_response,text_mri_eeg,0.43168754464435527,401,1.0,6513
surgery_outcome,text_only,0.4722077922077922,127,1.0,2732
surgery_outcome,mri_only,0.5372962607861936,127,0.7795275449752808,2732
surgery_outcome,eeg_only,0.5479842101857244,127,0.4173228442668915,2732
surgery_outcome,text_mri,0.4362714013950539,127,0.7795275449752808,2732
surgery_outcome,text_eeg,0.49593649593649597,127,0.4173228442668915,2732
surgery_outcome,text_mri_eeg,0.5131434830230011,127,1.0,2732
status_epilepticus,text_only,0.4968511431059271,121,1.0,613
status_epilepticus,mri_only,0.3738095238095238,121,0.6115702390670776,613
status_epilepticus,eeg_only,0.3675084175084175,121,0.6528925895690918,613
status_epilepticus,text_mri,0.5049814041908903,121,0.6115702390670776,613
status_epilepticus,text_eeg,0.4999628031542926,121,0.6528925895690918,613
status_epilepticus,text_mri_eeg,0.5177469810334335,121,1.0,613
