baseline,task,tier,macro_f1,n_test
TF-IDF + LogReg,epilepsy_type,silver,0.6464792086424023,1290
TF-IDF + LogReg,epilepsy_type,gold,0.5531301215124744,390
TF-IDF + LogReg,epilepsy_type,bronze,0.5924456930691582,6194
TF-IDF + LogReg,seizure_type,silver,0.5344867413945129,962
TF-IDF + LogReg,seizure_type,gold,0.6272764591730109,425
TF-IDF + LogReg,seizure_type,bronze,0.5067908619817654,4998
TF-IDF + LogReg,ez_localization,silver,0.5613314429522436,1051
TF-IDF + LogReg,ez_localization,gold,0.6294679910896743,401
TF-IDF + LogReg,ez_localization,bronze,0.6031837967237798,3457
TF-IDF + LogReg,aed_response,silver,0.4195489963871654,738
TF-IDF + LogReg,aed_response,gold,0.4226814644725092,401
TF-IDF + LogReg,aed_response,bronze,0.39021312766906924,2467
TF-IDF + LogReg,surgery_outcome,silver,0.4579100145137881,249
TF-IDF + LogReg,surgery_outcome,gold,0.4722077922077922,127
TF-IDF + LogReg,surgery_outcome,bronze,0.4716460946985026,633
TF-IDF + LogReg,status_epilepticus,silver,0.3651721897335933,42
TF-IDF + LogReg,status_epilepticus,gold,0.4968511431059271,121
TF-IDF + LogReg,status_epilepticus,bronze,0.40464023692666906,243
PubMedBERT-base,epilepsy_type,silver,0.6618332445522479,1290
PubMedBERT-base,epilepsy_type,gold,0.6451372842995879,390
PubMedBERT-base,epilepsy_type,bronze,0.6518146857187239,6194
PubMedBERT-base,seizure_type,silver,0.545788374494278,962
PubMedBERT-base,seizure_type,gold,0.706732172015192,425
PubMedBERT-base,seizure_type,bronze,0.5374369641155393,4998
PubMedBERT-base,ez_localization,silver,0.5829134939205738,1051
PubMedBERT-base,ez_localization,gold,0.7327850562344492,401
PubMedBERT-base,ez_localization,bronze,0.6662228718761308,3457
PubMedBERT-base,aed_response,silver,0.3924732357031835,738
PubMedBERT-base,aed_response,gold,0.46560642468269875,401
PubMedBERT-base,aed_response,bronze,0.36418199149190034,2467
PubMedBERT-base,surgery_outcome,silver,0.4300928027150564,249
PubMedBERT-base,surgery_outcome,gold,0.4708751288773307,127
PubMedBERT-base,surgery_outcome,bronze,0.49382443212566035,633
PubMedBERT-base,status_epilepticus,silver,0.31694818103086836,42
PubMedBERT-base,status_epilepticus,gold,0.472278493032277,121
PubMedBERT-base,status_epilepticus,bronze,0.2698889037905372,243
PubMedBERT-base (strong),epilepsy_type,silver,0.654412352379608,1290
PubMedBERT-base (strong),epilepsy_type,gold,0.6431515663867807,390
PubMedBERT-base (strong),epilepsy_type,bronze,0.6459900636566926,6194
PubMedBERT-base (strong),seizure_type,silver,0.5799363037632984,962
PubMedBERT-base (strong),seizure_type,gold,0.6860781762097551,425
PubMedBERT-base (strong),seizure_type,bronze,0.541370964313723,4998
PubMedBERT-base (strong),ez_localization,silver,0.6053721937014893,1051
PubMedBERT-base (strong),ez_localization,gold,0.7303671057436066,401
PubMedBERT-base (strong),ez_localization,bronze,0.6443228965962425,3457
PubMedBERT-base (strong),aed_response,silver,0.40006226572983355,738
PubMedBERT-base (strong),aed_response,gold,0.4114240673177343,401
